Supplier ID,Supplier Name,Amount
104392,County Coaching Limited,"3,175.00"
2290901,Courtney Coaches Ltd,"135,670.60"
2290902,Courtney Coaches Ltd,"124,424.53"
3502301,Coutts Information Services Ltd,"2,553.19"
299001,Cox Green Community Centre Play Scheme,500.00
291002,Cox Green Community Pre-School,"22,382.01"
108334,Craegmoor Healthcare,"10,297.17"
2468101,Cramer Music,831.41
110359,Creative Landscape Company Limited,"16,835.24"
111055,CreditCall Communications Ltd,"2,177.93"
4367502,Criminal Records Bureau,"17,157.00"
103947,Croft Fencing,"38,824.80"
3830901,Crown Wheelchair Travel,"34,612.12"
2306805,Cruse Bereavement Care,500.00
104414,CTS Contracts Ltd,750.95
2859801,Cumberland Lodge Enterprises Ltd,"1,260.12"
110623,Current Installations Ltd,"1,932.00"
111427,CWDC,"10,750.00"
109540,Cybersupport (UK) Limited,"3,694.68"
110595,Cyril Sweett Ltd,"63,252.99"
105494,D H Electrical Services Ltd,"19,037.93"
157101,D M Screenprint,"2,355.49"
101910,D W Fencing Ltd,"4,203.25"
2646601,D.W.Services,"15,222.00"
2110501,Dabs Direct Plc,"6,882.46"
631103,Dairy Crest Ltd,"6,571.32"
127201,Dairy Crest Ltd,726.50
631102,Dairy Crest Ltd,708.28
105509,Dale Emberton Associates,900.00
4363101,Darfen Durafencing (Division of CRH Fencing),"2,395.45"
109165,Datanet Communications,"8,623.85"
112384,Datasharp Independent Solutions Ltd,"2,145.39"
105081,Datasharp Telephony Solutions&RedcardTelecom,"2,130.84"
980501,Datchet Parish Centre,550.00
130501,Datchet Parish Council,"34,734.69"
3551301,Named Individual,"1,000.00"
107874,Named Individual,"1,916.66"
4005101,David John (Papers) Ltd,"5,819.59"
3201,David Lewis Centre-Epilepsy,"9,081.80"
1800902,Davies Sports - Findel Education Ltd,"9,521.24"
3211301,Dawson MMP Ltd,"9,238.53"
2330801,Day Care Plus,"2,100.00"
111526,Dayla Ltd,"1,136.57"
106675,DCP Microdevelopments Ltd,920.00
110321,De Vere Venues,"5,566.00"
112021,Named Individual,600.00
3659501,Named Individual,723.00
2092701,Dedworth Green First School,"11,928.16"
112585,Deep End Pools Ltd,"21,622.45"
3013601,Dell  Corporation Ltd,"49,965.29"
108546,Delta Phi Association,529.00
1548501,Demco Interiors,"3,447.03"
2757001,Dementia Care Seminars,640.00
108379,Denham Manor Nursing Home,"8,345.72"
210401,Denta Print Ltd,"1,980.30"
2638209,Department for Communities & Local Government,"300,729.83"
110056,Derbyshire Haven Residential Home,"5,109.13"
110325,Diane Broomhead t/a  Broomhead Training,673.70
4346801,Dicksons Travel,"1,193.27"
111785,Digital Home Engineering,"1,817.00"
101603,Direct Wines Ltd,634.85
100307,District Surveyors Assocition Limited T/A LABC,"2,364.89"
111570,DKW Sportswear,920.00
106941,Doherty Baines Chartered Surveyors,"13,000.96"
103264,Domestic Lift Services Limited,"3,464.03"
104309,Donald McPhail Consultancy Ltd,"5,750.00"
1730401,Dorma UK Ltd,"1,397.45"
102,Dormy House (Sunningdale) Ltd,"47,422.85"
140922,Dorney Lake Services Limited,"3,993.09"
107676,Dowding & Son Ltd,"4,821.00"
101614,DowJohnson,"1,495.00"
110296,DTZ,"9,208.05"
255601,Dunster And Morton,"1,288.00"
9701,DX Network Services Limited,"1,677.53"
112117,Dynamics,726.80
1601,Dysons Wood Trust,"45,888.84"
106692,E.ON UK plc,"1,963.29"
100201,Early Education,"1,100.00"
112466,Earth Anchors Ltd,"2,145.21"
2337801,Earthing Equipment Supplies (Southern) Ltd,"8,804.41"
610701,East Berkshire College,"10,276.97"
102572,East Berkshire Education Business Partnership,"9,378.75"
3765402,East Berkshire Ramblers Association,"1,000.00"
105436,Easthampstead Baptist Church,"2,097.20"
103102,Easy Care Systems,"6,491.75"
110444,EBM HP Office Centre Ltd,"7,645.20"
111647,Ecological Planning & Research (EPR),"17,457.79"
106063,Eden Springs UK Ltd,"6,247.55"
102652,Edexcel Ltd,"61,510.20"
101941,Edexcel Ltd,"5,014.85"
411201,Edgington Spink & Hyne,"10,502.08"
2324102,Edith Rose Day Nursery,"7,244.00"
2324101,Edith Rose Day Nursery,"6,691.75"
111942,Education and Special Projects Ltd,"1,102.85"
105493,Education Group Ltd,"1,147.70"
3155601,Educational Recording Agency,"6,759.94"
112474,Educor Ltd,"7,517.20"
111281,Named Individual,500.00
112222,Electric Eels Swimming Club,"3,000.00"
108298,Electricity Supply Nominees Ltd,"14,175.69"
112387,Elite Landscapes Limited,"24,486.82"
2281601,Elizabeth Fitzroy Support,"17,343.52"
9801,Elizabeth Fitzroy Support,"17,321.78"
141278,Elizabeth House Cookham,"1,500.00"
3272003,Emap Communications,"1,319.05"
102780,EMC Advertising Gifts,529.00
2944007,Emergency Planning Society,579.00
107288,Emmarina Louise Latham,"1,767.75"
1608301,Environment Agency,"65,408.54"
4371001,Environmental Management Solution,772.77
104934,Environmental Water Systems UK Ltd,595.13
108188,Envtec Services Ltd,729.56
112375,EPI Coaches Ltd,730.00
3755102,Equanet,"72,474.33"
107816,ESCA Laundry,"1,410.00"
110964,ESP Systex Ltd,"2,851.43"
107875,Espresso Education Ltd,"3,431.49"
1448201,ESRI (UK),724.50
112423,Essanae Interiors Ltd,"7,333.55"
102792,Eteach,831.11
104562,eteach.com,"1,654.90"
2315601,Eton Cars,"39,964.47"
213801,Eton College,"3,000.00"
2321501,Eton End PNEU School,"29,773.97"
105970,Eton Environmental Services Ltd,517.50
2501,Eton House Residential Home,"41,099.15"
101970,Eton Stationers & Post Office,626.99
210301,Eton Wick & Boveney Village Hall,"2,120.00"
106513,Euroclydon Nursing Home,"7,047.04"
103520,Europc Ltd,"1,869.90"
112354,European Asbestos Services,"1,944.65"
108114,European Electronique Ltd,860.20
106207,Eurotek Office Furniture Ltd,"6,679.33"
111734,Named Individual,542.50
102819,Evac Chair Ltd,775.10
111905,Exactrak,683.10
111167,Exceedia Ltd,"33,903.14"
100589,Excel Pumps & Motors Ltd,920.00
106344,Excel'ed,544.96
3017901,exeGesIS SDM Ltd,"3,048.65"
101666,Experian Business Strategies,"2,228.70"
108138,Experian Ltd,"23,475.52"
107229,EzTeach Ltd,"1,350.00"
2584401,F & C Electric Ltd,"3,274.05"
9001,F C M Sale,"15,700.81"
2314001,F J Lane & Son Ltd,"56,608.43"
111474,F P Executive Agency Limited,"1,503.91"
110560,F Roy Evans,"7,146.10"
101564,Fairlight Residential Home,"3,639.15"
100898,Families Thames Valley East,569.25
2323601,Family Friends In Windsor And Maidenhead,"51,207.50"
100361,familyplacement.com ltd,"5,472.00"
