"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook",,"Twomey, Dominic A.","Labour",695,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook",,"Choudhury, Ahmed Z.H.","Labour",679,,,,,,,,,,,,,
1,11,"Barking and Dagenham",,"Mayesbrook",,"Newton, Christopher   ","Conservative",249,,,,,,,,,,,,,
1,12,"Barking and Dagenham",,"Parsloes","*","Doncaster, Ronald W.","British National Party",1120,,,,,,,,,,,,,
1,12,"Barking and Dagenham",,"Parsloes","*","Tuffs, Darren A.","British National Party",1052,,,,,,,,,,,,,
1,12,"Barking and Dagenham",,"Parsloes","*","Collins, Herbert J.","Labour",1050,,,,,,,,,,,,,
1,12,"Barking and Dagenham",,"Parsloes",,"Jones, Frederick C.","Labour",1026,,,,,,,,,,,,,
1,12,"Barking and Dagenham",,"Parsloes",,"Osborn, Catherine T.","Labour",948,,,,,,,,,,,,,
1,12,"Barking and Dagenham",,"Parsloes",,"Compobassi, Peter   ","United Kingdom Independence Party",423,,,,,,,,,,,,,
1,13,"Barking and Dagenham",,"River","*","Smith, Liam A.","Labour",1529,,,,,,,,,,,,,
1,13,"Barking and Dagenham",,"River","*","Twomey, Patricia A.","Labour",1406,,,,,,,,,,,,,
1,13,"Barking and Dagenham",,"River","*","Jamu, Inder S. ","Labour",1304,,,,,,,,,,,,,
1,13,"Barking and Dagenham",,"River",,"Parsons, Betty A.","United Kingdom Independence Party",858,,,,,,,,,,,,,
1,13,"Barking and Dagenham",,"River",,"White, Herbert G.","Conservative",617,,,,,,,,,,,,,
1,14,"Barking and Dagenham",,"Thames","*","Barns, William F.L.","Labour",1264,,,,,,,,,,,,,
1,14,"Barking and Dagenham",,"Thames","*","Rawlinson, Joan E.","Labour",1157,,,,,,,,,,,,,
1,14,"Barking and Dagenham",,"Thames","*","Poulton, Barry   ","Labour",1127,,,,,,,,,,,,,
1,14,"Barking and Dagenham",,"Thames",,"Dias-Broughton, John W.","Independent",721,,,,,,,,,,,,,
1,14,"Barking and Dagenham",,"Thames",,"Grey, Thomas J.P.","Conservative",470,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence","*","Doncaster, Sandra A.","British National Party",1219,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence","*","Rustem, Lawrence   ","British National Party",1203,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence","*","Hemmett, Donald G.","Labour",1071,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence",,"O`Brien, Dennis   ","Labour",1005,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence",,"Osborn, Bryan M.","Labour",915,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence",,"Lambart, Angela   ","United Kingdom Independence Party",372,,,,,,,,,,,,,
1,15,"Barking and Dagenham",,"Valence",,"Sentivani, Maria   ","Green",360,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village","*","Waker, Philip T.","Labour",1276,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village","*","Waker, Lee R.","Labour",1269,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village","*","Jarvis, Jamie K.","British National Party",1227,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village",,"Dale, William C. ","Labour",1209,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village",,"Webb, James   ","British National Party",1208,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village",,"Coombs, Kenneth M.","Conservative",370,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village",,"Tindling, Frederick   ","Liberal Democrat",287,,,,,,,,,,,,,
1,16,"Barking and Dagenham",,"Village",,"Parsons, Leslie H.","United Kingdom Independence Party",272,,,,,,,,,,,,,
1,17,"Barking and Dagenham",,"Whalebone","*","Denyer, John R.","Labour",1304,,,,,,,,,,,,,
1,17,"Barking and Dagenham",,"Whalebone","*","West, Margaret M.","Labour",1208,,,,,,,,,,,,,
1,17,"Barking and Dagenham",,"Whalebone","*","White, John R.","Labour",1159,,,,,,,,,,,,,
1,17,"Barking and Dagenham",,"Whalebone",,"Taylor, Paul   ","Conservative",1021,,,,,,,,,,,,,
1,17,"Barking and Dagenham",,"Whalebone",,"Naylor, Christine M.","Conservative",1014,,,,,,,,,,,,,
2,1,"Barnet",,"Brunswick Park",,"Chamberlin, Primrose J.F.","United Kingdom Independence Party",224,,,,,,,,,,,,,
