"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Johnston, John J.","Labour",942,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Levy, Mira   ","Liberal Democrat",672,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Lithgow, Jane   ","Green",156,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware","*","Scannell, Joan   ","Conservative",2018,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Senitt, Alan C.","Labour",854,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware","*","Weider, Richard F.","Conservative",2199,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Davis, Malcolm B.","Liberal Democrat",526,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Dunn, Miranda J.   ","Green",567,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End","*","Freer, Michael W.","Conservative",2543,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Graber, Ingeborg   ","Liberal Democrat",435,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Graham, James P.D.","Liberal Democrat",508,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End","*","Greenspan, Eva   ","Conservative",2604,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Paun, Alay   ","Labour",691,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End","*","Thomas, Daniel C.B.","Conservative",2402,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Walsh, Michael A.","Labour",756,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Watkins, Brian J.","Labour",702,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Barber, Stephen D.","Liberal Democrat",1395,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Farrer, Andrew C.","Green",411,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb","*","Harper, Andrew C.","Conservative",2307,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Harris, Marjorie A. ","Liberal Democrat",1701,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Lusher, Peter A.","Liberal Democrat",1425,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb","*","Marshall, John L.","Conservative",2418,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Murrell, Kenneth C.","Labour",462,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb","*","Naghar, Jazmin   ","Conservative",2158,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Solomons, Janet F.","Labour",459,,,,,,,,,,,,,
2,10,"Barnet",,"Garden Suburb",,"Ward, Diarmaid J.","Labour",325,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Badrick, Dorothy R.","Independent",389,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Boulton, Anthony P.","Labour",588,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green","*","Cohen, Dean S.B.","Conservative",2090,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green","*","Cohen, Melvin","Conservative",2134,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Davies, Jonathan M.","Liberal Democrat",401,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green","*","Harris, Christopher G.S.","Conservative",2095,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Incenzo, Dolores C.","Green",329,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Kovar, Simon V.","Liberal Democrat",344,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"McGuirk, Mary P.","Labour",555,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"McKinnell, Pauline A.","Liberal Democrat",415,,,,,,,,,,,,,
2,11,"Barnet",,"Golders Green",,"Ross, Aubrey E.","Labour",690,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Balendra, Sandi J.","Labour",1820,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Blomer, Steven E.","Labour",1799,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Dustagheer, Adam   ","Labour",1749,,,,,,,,,,,,,
2,12,"Barnet",,"Hale","*","Ellison, Jane E.","Conservative",2276,,,,,,,,,,,,,
2,12,"Barnet",,"Hale","*","Gordon, Brian C.","Conservative",2315,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Gottsche, Sheila   ","Liberal Democrat",528,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Jacobs, Geoffrey A. ","Liberal Democrat",523,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Lake, David R.","Green",359,,,,,,,,,,,,,
2,12,"Barnet",,"Hale","*","Rayner, Hugh R.","Conservative",2099,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Roberts, Michael C.","Liberal Democrat",488,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon","*","Braun, Maureen   ","Conservative",1937,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"de Lance, Stieve B.","Liberal Democrat",793,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"de Mello, Pablo   ","Green",271,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon","*","Finn, Anthony H. ","Conservative",2011,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"Greenhill, Peter   ","Liberal Democrat",855,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"Jeanmaire, Pierre   ","Labour",641,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"Montague, Ruth   ","Labour",594,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"Morrissey, Honora M.","Liberal Democrat",749,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon","*","Offord, Matthew J.","Conservative",1914,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"Parekh, Nitin   ","Labour",538,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Harris, Matthew F.","Liberal Democrat",2187,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Jarvis, Elizabeth A.","Labour",483,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Larcey, Michael   ","Labour",396,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet","*","Macdonald, Duncan C.","Liberal Democrat",2226,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Miles, Robert D.","Green",484,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Nowell, David A.G.","Liberal Democrat",2033,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet","*","Perry, Bridget T.","Conservative",2335,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet","*","Prentice, Yvonne W.","Conservative",2356,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Soer, Richard G.","Labour",365,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Sowerby, Stephen L.","Conservative",2160,,,,,,,,,,,,,
2,14,"Barnet",,"High Barnet",,"Yeboah-Hinton, Barbara C. ","Victory United Party",71,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill","*","Casey, Wayne J.","Liberal Democrat",2108,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill","*","Davies, Jeremy E.","Liberal Democrat",2082,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Dreisin, Matthew   ","Conservative",1923,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill","*","Hart, John R.","Conservative",1964,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Hooker, Sean J.","Liberal Democrat",1749,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Macauley, Agnes   ","Labour",587,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Mbala-Appoh, Daniel   ","Labour",487,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Millett, Richard I.","Conservative",1909,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Parnaby, Will   ","Labour",600,,,,,,,,,,,,,
2,15,"Barnet",,"Mill Hill",,"Williams, David G.","Green",472,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Barton, David J.","Liberal Democrat",1371,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Bradbury, Pamela A.","Labour",641,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Cutting, Richard G.","Green",550,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Keech, David J.","Liberal Democrat",1321,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh","*","Rajput, Sachin   ","Conservative",2349,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Russell, Susan   ","Labour",621,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh","*","Salinger, Brian L.","Conservative",2509,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Standing, Bruce A.","Liberal Democrat",1330,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh",,"Tyas, Valerie J.","Labour",524,,,,,,,,,,,,,
2,16,"Barnet",,"Oakleigh","*","Yannakoudakis, Marina   ","Conservative",2447,,,,,,,,,,,,,
